timestamp, name, index, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W]
2024/04/30 11:09:24.604, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.18 W
2024/04/30 11:09:25.605, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.18 W
2024/04/30 11:09:26.605, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.19 W
2024/04/30 11:09:27.606, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.22 W
2024/04/30 11:09:28.607, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.16 W
2024/04/30 11:09:29.608, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.18 W
2024/04/30 11:09:30.608, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.10 W
2024/04/30 11:09:31.609, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.12 W
2024/04/30 11:09:32.611, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.10 W
2024/04/30 11:09:33.612, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.15 W
2024/04/30 11:09:34.613, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.12 W
2024/04/30 11:09:35.613, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.12 W
2024/04/30 11:09:36.614, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.15 W
2024/04/30 11:09:37.615, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.10 W
2024/04/30 11:09:38.616, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.10 W
2024/04/30 11:09:39.617, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.11 W
2024/04/30 11:09:40.618, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.14 W
2024/04/30 11:09:41.619, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.09 W
2024/04/30 11:09:42.620, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.10 W
2024/04/30 11:09:43.621, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.11 W
2024/04/30 11:09:44.622, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.16 W
2024/04/30 11:09:45.623, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.12 W
2024/04/30 11:09:46.624, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.18 W
2024/04/30 11:09:47.625, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.19 W
2024/04/30 11:09:48.626, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.18 W
2024/04/30 11:09:49.627, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.15 W
2024/04/30 11:09:50.628, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.17 W
2024/04/30 11:09:51.629, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.14 W
2024/04/30 11:09:52.630, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.06 W
2024/04/30 11:09:53.631, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.06 W
2024/04/30 11:09:54.632, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.12 W
2024/04/30 11:09:55.633, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.11 W
2024/04/30 11:09:56.634, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.13 W
2024/04/30 11:09:57.635, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.12 W
2024/04/30 11:09:58.636, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.16 W
2024/04/30 11:09:59.637, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.15 W
2024/04/30 11:10:00.638, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.18 W
2024/04/30 11:10:01.639, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.10 W
2024/04/30 11:10:02.640, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.11 W
2024/04/30 11:10:03.641, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.15 W
2024/04/30 11:10:04.642, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.15 W
2024/04/30 11:10:05.643, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.13 W
2024/04/30 11:10:06.644, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.07 W
2024/04/30 11:10:07.644, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.07 W
2024/04/30 11:10:08.645, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.11 W
2024/04/30 11:10:09.646, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.12 W
2024/04/30 11:10:10.647, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.08 W
2024/04/30 11:10:11.648, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.10 W
2024/04/30 11:10:12.649, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.07 W
2024/04/30 11:10:13.650, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.13 W
2024/04/30 11:10:14.650, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.14 W
2024/04/30 11:10:15.651, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.17 W
2024/04/30 11:10:16.652, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.13 W
